,patient,accuracy,bands
341,12,0.8113207547169812,9-14Hz
342,12,0.8113207547169812,9-14Hz
343,12,0.7924528301886793,9-14Hz
344,12,0.7547169811320755,9-14Hz
345,12,0.8301886792452831,9-14Hz
346,12,0.7169811320754716,9-14Hz
347,12,0.7735849056603774,9-14Hz
348,12,0.7547169811320755,9-14Hz
349,12,0.7358490566037735,9-14Hz
350,12,0.7547169811320755,10-12Hz
351,12,0.8113207547169812,10-12Hz
352,12,0.8301886792452831,10-12Hz
353,12,0.7735849056603774,10-12Hz
354,12,0.8113207547169812,10-12Hz
355,12,0.8490566037735849,10-12Hz
356,12,0.7735849056603774,10-12Hz
357,12,0.7547169811320755,10-12Hz
358,12,0.7735849056603774,10-12Hz
359,12,0.7358490566037735,10-12Hz
360,13,0.6333333333333333,6-30Hz
361,13,0.6333333333333333,6-30Hz
362,13,0.6166666666666667,6-30Hz
363,13,0.6166666666666667,6-30Hz
364,13,0.65,6-30Hz
365,13,0.65,6-30Hz
366,13,0.6833333333333333,6-30Hz
367,13,0.65,6-30Hz
368,13,0.6166666666666667,6-30Hz
369,13,0.6666666666666666,6-30Hz
370,13,0.6833333333333333,9-14Hz
371,13,0.65,9-14Hz
372,13,0.6166666666666667,9-14Hz
373,13,0.6333333333333333,9-14Hz
374,13,0.65,9-14Hz
375,13,0.6333333333333333,9-14Hz
376,13,0.6666666666666666,9-14Hz
377,13,0.7,9-14Hz
378,13,0.6,9-14Hz
379,13,0.7,9-14Hz
380,13,0.7166666666666667,10-12Hz
381,13,0.6,10-12Hz
382,13,0.6833333333333333,10-12Hz
383,13,0.7,10-12Hz
384,13,0.6333333333333333,10-12Hz
385,13,0.65,10-12Hz
386,13,0.6333333333333333,10-12Hz
387,13,0.6333333333333333,10-12Hz
388,13,0.7333333333333333,10-12Hz
389,13,0.7166666666666667,10-12Hz
390,14,0.9833333333333333,6-30Hz
391,14,0.9833333333333333,6-30Hz
392,14,0.9833333333333333,6-30Hz
393,14,0.9833333333333333,6-30Hz
394,14,1.0,6-30Hz
395,14,1.0,6-30Hz
396,14,0.9666666666666667,6-30Hz
397,14,0.9833333333333333,6-30Hz
398,14,0.9833333333333333,6-30Hz
399,14,0.9833333333333333,6-30Hz
400,14,0.9833333333333333,9-14Hz
401,14,0.95,9-14Hz
402,14,0.9666666666666667,9-14Hz
403,14,0.9833333333333333,9-14Hz
404,14,0.9833333333333333,9-14Hz
405,14,1.0,9-14Hz
406,14,0.9666666666666667,9-14Hz
407,14,0.9833333333333333,9-14Hz
408,14,1.0,9-14Hz
409,14,0.9666666666666667,9-14Hz
410,14,1.0,10-12Hz
411,14,0.95,10-12Hz
412,14,0.9333333333333333,10-12Hz
413,14,0.9833333333333333,10-12Hz
414,14,0.9833333333333333,10-12Hz
