,patient,accuracy,class,bands
80,1,0.8,2,10-12Hz
81,1,0.9285714285714286,0,10-12Hz
82,1,0.7727272727272727,1,10-12Hz
83,1,0.6666666666666666,2,10-12Hz
84,1,0.8888888888888888,0,10-12Hz
85,1,0.7272727272727273,1,10-12Hz
86,1,0.65,2,10-12Hz
87,1,1.0,0,10-12Hz
88,1,0.6111111111111112,1,10-12Hz
89,1,0.7391304347826086,2,10-12Hz
90,2,0.8823529411764706,0,6-30Hz
91,2,0.16,1,6-30Hz
92,2,0.6666666666666666,2,6-30Hz
93,2,0.7142857142857143,0,6-30Hz
94,2,0.47058823529411764,1,6-30Hz
95,2,0.5454545454545454,2,6-30Hz
96,2,0.9375,0,6-30Hz
97,2,0.5454545454545454,1,6-30Hz
98,2,0.36363636363636365,2,6-30Hz
99,2,0.7777777777777778,0,6-30Hz
100,2,0.45454545454545453,1,6-30Hz
101,2,0.6,2,6-30Hz
102,2,0.9,0,6-30Hz
103,2,0.3888888888888889,1,6-30Hz
104,2,0.5909090909090909,2,6-30Hz
105,2,0.76,0,6-30Hz
106,2,0.25,1,6-30Hz
107,2,0.4,2,6-30Hz
108,2,0.8,0,6-30Hz
109,2,0.13636363636363635,1,6-30Hz
110,2,0.2222222222222222,2,6-30Hz
111,2,0.8636363636363636,0,6-30Hz
112,2,0.5,1,6-30Hz
113,2,0.2777777777777778,2,6-30Hz
114,2,0.9411764705882353,0,6-30Hz
115,2,0.4166666666666667,1,6-30Hz
116,2,0.631578947368421,2,6-30Hz
117,2,0.8260869565217391,0,6-30Hz
118,2,0.3157894736842105,1,6-30Hz
119,2,0.4444444444444444,2,6-30Hz
120,2,0.7058823529411765,0,9-14Hz
121,2,0.2,1,9-14Hz
122,2,0.6111111111111112,2,9-14Hz
123,2,0.7142857142857143,0,9-14Hz
124,2,0.4117647058823529,1,9-14Hz
125,2,0.5,2,9-14Hz
126,2,0.8125,0,9-14Hz
127,2,0.2727272727272727,1,9-14Hz
128,2,0.36363636363636365,2,9-14Hz
129,2,0.6666666666666666,0,9-14Hz
130,2,0.4090909090909091,1,9-14Hz
