,patient,structure,train,test
74,25,multiclass balanced,0.24783500000000913,0.005772300000046471
75,26,hierarchical,0.43099050000000716,0.013808700000026874
76,26,multiclass unbalanced,0.3121915000000399,0.007978400000013153
77,26,multiclass balanced,0.26188510000002907,0.009579799999983152
78,27,hierarchical,0.3753881000000092,0.013749700000005305
79,27,multiclass unbalanced,0.30652180000004137,0.008136399999955302
80,27,multiclass balanced,0.22545039999999972,0.004746000000011463
81,28,hierarchical,0.4326700999999957,0.017811900000026526
82,28,multiclass unbalanced,0.31150060000004487,0.0071416000000112945
83,28,multiclass balanced,0.24250580000000355,0.00736210000002302
84,29,hierarchical,0.053781000000014956,0.0012502999999810527
85,29,multiclass unbalanced,0.0760834000000159,0.0005352000000016233
86,29,multiclass balanced,0.08321200000000317,0.0004423999999971784
87,30,hierarchical,0.2657844999999952,0.009750800000006166
88,30,multiclass unbalanced,0.25706580000002077,0.00449479999997493
89,30,multiclass balanced,0.18608860000000504,0.0028684000000112064
90,31,hierarchical,0.38719150000002855,0.013474100000053113
91,31,multiclass unbalanced,0.33907299999998486,0.00795549999998002
92,31,multiclass balanced,0.2730865999999992,0.005143999999972948
93,32,hierarchical,0.43244650000002594,0.014379799999971965
94,32,multiclass unbalanced,0.32483519999999544,0.009069599999975253
95,32,multiclass balanced,0.24331609999995862,0.005259699999953682
96,33,hierarchical,0.40886050000000296,0.017780800000025465
97,33,multiclass unbalanced,0.30804139999997915,0.008001299999989442
98,33,multiclass balanced,0.2503633000000036,0.004944000000023152
99,34,hierarchical,0.06097599999998238,0.0014444000000253254
100,34,multiclass unbalanced,0.09914939999998751,0.0004963000000088869
101,34,multiclass balanced,0.08107939999996461,0.0004866000000447457
102,35,hierarchical,0.4207225999999764,0.014967500000011569
103,35,multiclass unbalanced,0.343946399999993,0.008585700000026009
104,35,multiclass balanced,0.25107220000001007,0.005259899999998652
105,36,hierarchical,0.4400999999999726,0.013059499999997115
106,36,multiclass unbalanced,0.3252628000000186,0.007849100000044018
107,36,multiclass balanced,0.27164730000004056,0.00462840000000142
108,37,hierarchical,0.4211417999999867,0.018743400000005295
109,37,multiclass unbalanced,0.3416336999999885,0.008168799999964449
110,37,multiclass balanced,0.2686951000000022,0.00716490000002068
111,38,hierarchical,0.416953000000035,0.012102999999967778
112,38,multiclass unbalanced,0.3237745000000132,0.0065230000000156
113,38,multiclass balanced,0.2386017000000038,0.005192800000031639
114,39,hierarchical,0.4688744999999699,0.0151271999999949
115,39,multiclass unbalanced,0.31777240000002394,0.007874700000002122
116,39,multiclass balanced,0.2561555999999996,0.004746999999952095
117,40,hierarchical,0.44461890000002313,0.014028800000005504
118,40,multiclass unbalanced,0.33561919999999645,0.006231200000001991
119,40,multiclass balanced,0.28107299999999213,0.0058312999999543536
120,41,hierarchical,0.4390766999999869,0.0139416000000665
121,41,multiclass unbalanced,0.3204536000000644,0.007446999999956461
122,41,multiclass balanced,0.2638507000000345,0.0048573000000260436
123,42,hierarchical,0.43577960000004623,0.015697100000011233
124,42,multiclass unbalanced,0.34134579999999914,0.006653499999970336
125,42,multiclass balanced,0.2583699000000479,0.005704300000047624
126,43,hierarchical,0.44452000000001135,0.014713199999960125
127,43,multiclass unbalanced,0.3602235999999266,0.006719099999941136
128,43,multiclass balanced,0.27781400000003487,0.0050881999999319305
129,44,hierarchical,0.43292969999993147,0.01566990000003443
130,44,multiclass unbalanced,0.3325554000000466,0.0076652000000194676
131,44,multiclass balanced,0.3085051000000476,0.005412299999989045
132,45,hierarchical,0.4294667000000345,0.014939199999957964
133,45,multiclass unbalanced,0.31916260000002694,0.00739710000004834
134,45,multiclass balanced,0.2728084000000308,0.004883100000029117
135,46,hierarchical,0.558559100000025,0.019312199999944824
136,46,multiclass unbalanced,0.3949643000000833,0.009302499999989777
137,46,multiclass balanced,0.2845644999999877,0.006298099999980877
138,47,hierarchical,0.4369355999999698,0.015562599999952909
139,47,multiclass unbalanced,0.32342719999996916,0.008389599999986785
140,47,multiclass balanced,0.24610119999999824,0.005167199999959848
141,48,hierarchical,0.4539029000000028,0.013975700000059987
142,48,multiclass unbalanced,0.3152767000000267,0.006845800000064628
143,48,multiclass balanced,0.261430799999971,0.007266800000024887
144,49,hierarchical,0.4083326999999599,0.014205700000047727
145,49,multiclass unbalanced,0.3320962000000236,0.00784109999995053
146,49,multiclass balanced,0.2533572999999478,0.004982299999937823
147,50,hierarchical,0.4697194000000309,0.014405100000089988
148,50,multiclass unbalanced,0.30651369999998224,0.006633700000065801
149,50,multiclass balanced,0.2452837000000727,0.0048015999999506676
150,51,hierarchical,0.41630610000004253,0.01430690000006507
151,51,multiclass unbalanced,0.3024035000000822,0.00663760000009006
152,51,multiclass balanced,0.2519523000000845,0.005667700000003606
153,52,hierarchical,0.430275800000004,0.012140299999941817
154,52,multiclass unbalanced,0.3247599999999693,0.008478100000047561
155,52,multiclass balanced,0.2557453000000578,0.007650699999999233
