,patient,accuracy,class,channels
342,4,1.0,0,18
343,4,0.8125,1,18
344,4,0.8260869565217391,2,18
345,4,0.875,0,18
346,4,0.8095238095238095,1,18
347,4,1.0,2,18
348,4,0.8181818181818182,0,18
349,4,1.0,1,18
350,4,0.85,2,18
351,4,0.7857142857142857,0,18
352,4,0.7727272727272727,1,18
353,4,0.8333333333333334,2,18
354,4,0.9444444444444444,0,18
355,4,1.0,1,18
356,4,0.75,2,18
357,4,1.0,0,18
358,4,0.8333333333333334,1,18
359,4,0.8695652173913043,2,18
360,5,1.0,0,2
361,5,0.44,1,2
362,5,0.8333333333333334,2,2
363,5,0.9523809523809523,0,2
364,5,0.6470588235294118,1,2
365,5,0.5,2,2
366,5,1.0,0,2
367,5,0.6818181818181818,1,2
368,5,0.7272727272727273,2,2
369,5,0.9444444444444444,0,2
370,5,0.5454545454545454,1,2
371,5,0.65,2,2
372,5,1.0,0,2
373,5,0.6111111111111112,1,2
374,5,0.45454545454545453,2,2
375,5,1.0,0,2
376,5,0.65,1,2
377,5,0.7333333333333333,2,2
378,5,0.9,0,2
379,5,0.6363636363636364,1,2
380,5,0.7222222222222222,2,2
381,5,0.9545454545454546,0,2
382,5,0.55,1,2
383,5,0.6666666666666666,2,2
384,5,1.0,0,2
385,5,0.7083333333333334,1,2
386,5,0.7368421052631579,2,2
387,5,0.9130434782608695,0,2
388,5,0.631578947368421,1,2
389,5,0.7777777777777778,2,2
390,5,1.0,0,10
391,5,0.44,1,10
392,5,0.7777777777777778,2,10
393,5,0.9523809523809523,0,10
394,5,0.7058823529411765,1,10
395,5,0.5909090909090909,2,10
396,5,1.0,0,10
397,5,0.5454545454545454,1,10
398,5,0.5909090909090909,2,10
399,5,0.9444444444444444,0,10
400,5,0.36363636363636365,1,10
401,5,0.7,2,10
402,5,1.0,0,10
403,5,0.5555555555555556,1,10
404,5,0.5909090909090909,2,10
405,5,1.0,0,10
406,5,0.6,1,10
407,5,0.7333333333333333,2,10
408,5,1.0,0,10
409,5,0.5454545454545454,1,10
410,5,0.4444444444444444,2,10
411,5,0.9545454545454546,0,10
412,5,0.5,1,10
413,5,0.7777777777777778,2,10
414,5,0.9411764705882353,0,10
415,5,0.5416666666666666,1,10
416,5,0.6842105263157895,2,10
417,5,0.9130434782608695,0,10
418,5,0.5263157894736842,1,10
419,5,0.7222222222222222,2,10
420,5,1.0,0,18
421,5,0.52,1,18
422,5,0.8333333333333334,2,18
423,5,0.9523809523809523,0,18
424,5,0.5882352941176471,1,18
425,5,0.6818181818181818,2,18
426,5,1.0,0,18
427,5,0.5909090909090909,1,18
428,5,0.6818181818181818,2,18
429,5,0.9444444444444444,0,18
430,5,0.45454545454545453,1,18
431,5,0.8,2,18
432,5,1.0,0,18
433,5,0.7222222222222222,1,18
434,5,0.6818181818181818,2,18
435,5,1.0,0,18
436,5,0.55,1,18
437,5,0.8666666666666667,2,18
438,5,1.0,0,18
439,5,0.5454545454545454,1,18
440,5,0.6111111111111112,2,18
441,5,0.9545454545454546,0,18
442,5,0.65,1,18
443,5,0.7222222222222222,2,18
444,5,0.9411764705882353,0,18
445,5,0.6666666666666666,1,18
446,5,0.8947368421052632,2,18
447,5,0.9130434782608695,0,18
448,5,0.5263157894736842,1,18
449,5,0.7777777777777778,2,18
450,6,0.9333333333333333,0,2
451,6,0.95,1,2
452,6,0.05263157894736842,2,2
453,6,0.8947368421052632,0,2
454,6,0.9411764705882353,1,2
455,6,0.0,2,2
456,6,0.7894736842105263,0,2
457,6,1.0,1,2
458,6,0.0,2,2
459,6,0.875,0,2
460,6,1.0,1,2
461,6,0.0,2,2
462,6,0.9285714285714286,0,2
463,6,0.5454545454545454,1,2
464,6,0.1111111111111111,2,2
465,6,1.0,0,2
466,6,0.9523809523809523,1,2
467,6,0.0,2,2
468,6,0.7647058823529411,0,2
469,6,1.0,1,2
470,6,0.0,2,2
471,6,0.9285714285714286,0,2
472,6,0.782608695652174,1,2
473,6,0.058823529411764705,2,2
474,6,1.0,0,2
475,6,0.9444444444444444,1,2
476,6,0.0,2,2
477,6,0.8461538461538461,0,2
478,6,0.68,1,2
479,6,0.1875,2,2
480,6,1.0,0,10
481,6,0.8,1,10
482,6,0.3684210526315789,2,10
483,6,0.8947368421052632,0,10
484,6,0.9411764705882353,1,10
485,6,0.2222222222222222,2,10
486,6,0.7894736842105263,0,10
487,6,0.6666666666666666,1,10
488,6,0.5294117647058824,2,10
489,6,0.875,0,10
490,6,0.6428571428571429,1,10
491,6,0.1875,2,10
492,6,0.8571428571428571,0,10
493,6,0.8636363636363636,1,10
494,6,0.3333333333333333,2,10
495,6,1.0,0,10
496,6,0.6190476190476191,1,10
497,6,0.29411764705882354,2,10
498,6,1.0,0,10
499,6,0.7727272727272727,1,10
500,6,0.26666666666666666,2,10
501,6,0.9285714285714286,0,10
502,6,0.6086956521739131,1,10
503,6,0.4117647058823529,2,10
504,6,0.9444444444444444,0,10
505,6,0.7222222222222222,1,10
506,6,0.2777777777777778,2,10
507,6,1.0,0,10
508,6,0.6,1,10
509,6,0.25,2,10
510,6,1.0,0,18
511,6,0.85,1,18
512,6,0.42105263157894735,2,18
513,6,0.9473684210526315,0,18
514,6,0.7647058823529411,1,18
515,6,0.6111111111111112,2,18
516,6,0.8947368421052632,0,18
517,6,0.8333333333333334,1,18
518,6,0.5294117647058824,2,18
519,6,0.9166666666666666,0,18
520,6,0.7142857142857143,1,18
521,6,0.5,2,18
522,6,0.9285714285714286,0,18
523,6,0.45454545454545453,1,18
524,6,0.6111111111111112,2,18
525,6,1.0,0,18
526,6,0.7142857142857143,1,18
527,6,0.29411764705882354,2,18
528,6,0.8823529411764706,0,18
529,6,0.5909090909090909,1,18
530,6,0.3333333333333333,2,18
531,6,0.9285714285714286,0,18
532,6,0.6521739130434783,1,18
