,patient,accuracy,classifier
313,16,0.5333333333333333,MLP
314,16,0.6166666666666667,MLP
315,16,0.6333333333333333,MLP
316,16,0.5333333333333333,MLP
317,16,0.5833333333333334,MLP
318,16,0.6333333333333333,MLP
319,16,0.6166666666666667,MLP
320,17,0.4666666666666667,LDA
321,17,0.5166666666666667,LDA
322,17,0.43333333333333335,LDA
323,17,0.45,LDA
324,17,0.4166666666666667,LDA
325,17,0.38333333333333336,LDA
326,17,0.31666666666666665,LDA
327,17,0.45,LDA
328,17,0.5333333333333333,LDA
329,17,0.5,LDA
330,17,0.45,MLP
331,17,0.5,MLP
332,17,0.2833333333333333,MLP
333,17,0.45,MLP
334,17,0.4166666666666667,MLP
335,17,0.5666666666666667,MLP
336,17,0.43333333333333335,MLP
337,17,0.38333333333333336,MLP
338,17,0.48333333333333334,MLP
339,17,0.5333333333333333,MLP
340,18,0.6166666666666667,LDA
341,18,0.65,LDA
342,18,0.5666666666666667,LDA
343,18,0.7166666666666667,LDA
344,18,0.5,LDA
345,18,0.7166666666666667,LDA
346,18,0.7333333333333333,LDA
347,18,0.65,LDA
348,18,0.7333333333333333,LDA
349,18,0.5833333333333334,LDA
350,18,0.6,MLP
351,18,0.7,MLP
352,18,0.48333333333333334,MLP
353,18,0.65,MLP
354,18,0.6,MLP
355,18,0.6666666666666666,MLP
356,18,0.7333333333333333,MLP
357,18,0.6,MLP
358,18,0.75,MLP
359,18,0.48333333333333334,MLP
360,19,0.7272727272727273,LDA
361,19,0.7272727272727273,LDA
362,19,0.6818181818181818,LDA
363,19,0.6818181818181818,LDA
364,19,0.7045454545454546,LDA
365,19,0.6818181818181818,LDA
366,19,0.5454545454545454,LDA
367,19,0.5681818181818182,LDA
368,19,0.6818181818181818,LDA
369,19,0.6818181818181818,LDA
370,19,0.6818181818181818,MLP
371,19,0.7045454545454546,MLP
372,19,0.6363636363636364,MLP
373,19,0.6363636363636364,MLP
374,19,0.5454545454545454,MLP
375,19,0.6363636363636364,MLP
376,19,0.6363636363636364,MLP
377,19,0.5681818181818182,MLP
378,19,0.5909090909090909,MLP
379,19,0.5909090909090909,MLP
